,source,author,title,description,url,urlToImage,publishedAt,content,date,nextPosition
10,"{'id': None, 'name': 'Seeking Alpha'}",Matthew Utesch,The Retirees' Dividend Portfolio: John And Jane's January 2023 Taxable Account Update,"The Taxable Account generated $1,250.56 of dividend income for January 2023 compared with $1,072.22 of dividend income for January 2022. Click here to read more.",https://seekingalpha.com/article/4577394-the-retirees-dividend-portfolio-january-2023-update,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1423003141/image_1423003141.jpg?io=getty-c-w1536,2023-02-11T14:00:00Z,"Galeanu Mihai
The market has responded positively with the assumption that a fed pivot is not only possible but likely. At least that's the only explanation that makes sense to me with the rebound s… [+18904 chars]",2023-02-11,0.0
11,"{'id': 'marca', 'name': 'Marca'}",marca.com,"Gas Prices Today, February 12, 2023: Check the Cheapest Gas Stations Today","Over the past week, gas prices have fallen a little, with the average price for filling up in the USA coming back down.
But, the price of gas does remain high and this is a concern",https://www.marca.com/en/lifestyle/us-news/personal-finance/2023/02/12/63e8a34b268e3ea9628b45cb.html,https://phantom-marca.unidadeditorial.es/efe5832542acf8f284ee1732fc7c420a/resize/1200/f/jpg/assets/multimedia/imagenes/2023/02/12/16761904730570.jpg,2023-02-12T08:30:29Z,"Over the past week, gas prices have fallen a little, with the average price for filling up in the USA coming back down.
But, the price of gas does remain high and this is a concern for American driv… [+1840 chars]",2023-02-12,0.0
12,"{'id': None, 'name': 'Chicago Tribune'}",Chicago Tribune,"Letters: We should make electric cars even cleaner by embracing green steel, aluminum",It’s time we start seeing jobs tied to cleaner steel here in the Midwest.,https://www.chicagotribune.com/opinion/letters/ct-letters-vp-021223-20230212-ksb6cvylbjegtd3va4wb5qxwgm-story.html,https://www.chicagotribune.com/resizer/EraLK3g1TaY_Zev2DBriS8RDYeM=/1200x630/filters:format(jpg):quality(70):focal(1232x968:1242x978)/cloudfront-us-east-1.images.arcpublishing.com/tronc/Z4VW443QC5APTLKD7PDYITF2AA.jpg,2023-02-12T11:00:00Z,"Electric vehicles, or EVs, have won. When thousands of Chicagoland motorheads walk the halls of the convention center this weekend at the Chicago Auto Show, it will be abundantly clear that EVs are n… [+6316 chars]",2023-02-12,0.0
13,"{'id': None, 'name': 'Seeking Alpha'}",Samuel Smith,Better Passive Income Buy: VYM Vs. JEPI,"VYM offers income investors easy access to a well-diversified, low-cost portfolio. JEPI costs more. Find out which is the better buy at the moment.",https://seekingalpha.com/article/4577192-better-passive-income-buy-vym-vs-jepi,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/831493404/image_831493404.jpg?io=getty-c-w1536,2023-02-11T12:00:00Z,"Artur Didyk/iStock via Getty Images
The Vanguard High Dividend Yield ETF (NYSEARCA:VYM) offers investors easy access to a broadly diversified portfolio of dividend-paying stocks at a compellingly lo… [+9360 chars]",2023-02-11,0.0
14,"{'id': None, 'name': ""Barron's""}",Avi Salzman,"Big Oil’s Big Paradox: Record Profits, Low Stock Valuations",Many investors have doubts about the energy companies’ move toward green energy. That’s hurting the shares now and could continue to do so in the future.,https://www.barrons.com/articles/big-oils-big-paradox-record-profits-low-stock-valuations-64d0934e,https://images.barrons.com/im-722499/social,2023-02-11T00:50:00Z,"Big Oil has never been more profitable, but it has hardly ever been a smaller part of the stock market. Thats enough to make industry executives feel unappreciated. Were grossly undervalued, says BP … [+10062 chars]",2023-02-11,0.0
15,"{'id': None, 'name': 'Biztoc.com'}",yahoo.com,Exxon’s Trading Ambitions Mean Culture Shift to More Risk-Taking,Exxon Mobil Corp.’s ambitious plan to storm the world of energy trading is getting a skeptical reaction from seasoned market observers who say the oil giant could be a formidable foe — but only if it takes risks it hasn’t been willing to stomach before. • Non…,https://biztoc.com/x/83d6b35523721fb1,https://c.biztoc.com/p/83d6b35523721fb1/og.webp,2023-02-12T10:36:09Z,Exxon Mobil Corp.s ambitious plan to storm the world of energy trading is getting a skeptical reaction from seasoned market observers who say the oil giant could be a formidable foe but only if it ta… [+311 chars],2023-02-12,0.0
16,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Spencer Jakab,Exxon Is an Exile on Wall Street and Loving It,"The Dow Jones Industrial Average’s shake-up dumped Exxon Mobil, Pfizer and Raytheon just as it was their turn to shine",https://www.wsj.com/articles/exxon-is-an-exile-on-wall-street-and-loving-it-487d25f,https://images.wsj.net/im-723029/social,2023-02-13T14:10:00Z,"Want to annoy an investing pedant? Just talk about U.S. stocks in terms of the Dow Jones Industrial Average.
While the pros vastly prefer more sophisticated indexes weighted by market value over the… [+235 chars]",2023-02-13,-1.0
17,"{'id': None, 'name': 'Yahoo Entertainment'}",Ramish Cheema,12 Most Profitable Oil Stocks in the World,"In this piece, we will take a look at the 12 most profitable oil stocks in the world. For more companies, head on over to 5 Most Profitable Oil Stocks in the...",https://finance.yahoo.com/news/12-most-profitable-oil-stocks-213658965.html,https://media.zenfs.com/en/insidermonkey.com/6f0ec0150aefe881f68123f79042c7d0,2023-02-12T21:36:58Z,"In this piece, we will take a look at the 12 most profitable oil stocks in the world. For more companies, head on over to 5 Most Profitable Oil Stocks in the World. 
2022 was a year marked by tough … [+10075 chars]",2023-02-12,0.0
18,"{'id': None, 'name': 'Yahoo Entertainment'}",Ty Haqqi,25 Most Expensive Countries in Europe,"In this article, we will be taking a look at the 25 most expensive countries in Europe. To skip our detailed analysis, you can go directly to see the 10 most...",https://finance.yahoo.com/news/25-most-expensive-countries-europe-034038598.html,https://media.zenfs.com/en/insidermonkey.com/41da846546cc820633b880f7b1096398,2023-02-13T03:40:38Z,"In this article, we will be taking a look at the 25 most expensive countries in Europe. To skip our detailed analysis, you can go directly to see the 10 most expensive countries in Europe.
Europe ha… [+9176 chars]",2023-02-13,-1.0
19,"{'id': 'rt', 'name': 'RT'}",RT,Big Oil rakes in record profits,"The top five Western oil producers reported combined profits of nearly $200 billion in 2022, fueling calls for higher taxes on the industry Read Full Article at RT.com",https://www.rt.com/business/571157-big-oil-record-profit/,https://mf.b37mrtl.ru/files/2023.02/article/63e391f885f54014f07fee15.jpg,2023-02-13T05:40:06Z,"Oil giants Shell, BP, Exxon Mobil, Chevron and TotalEnergies posted a combined profit of $196.3 billion last year, according to the companies’ earnings reports. A record-high result for the oil indus… [+2578 chars]",2023-02-13,-1.0
20,"{'id': None, 'name': 'Motley Fool'}",newsfeedback@fool.com (Matthew DiLallo),Top Oil ETFs of 2023,Take a look at some of this year's top-performing oil ETFs and consider whether they deserve a spot in your portfolio.,https://www.fool.com/investing/stock-market/market-sectors/energy/oil-stocks/oil-etf-stocks/,https://m.foolcdn.com/media/dubs/images/offshore-oil-rig.width-600.jpg,2023-02-13T15:01:36Z,Oil exchange-traded funds (ETFs) let investors gain exposure to the oil market through a single investment. Oil ETFs accomplish that by providing investors with distinct ways to make a broad bet on t… [+9934 chars],2023-02-13,-1.0
21,"{'id': None, 'name': 'Marketscreener.com'}",MarketScreener,Exxon Reports FCCU-Related Issue at Baytown Oil Refinery in Texas,"(marketscreener.com) 
 By Dan Molinski 

 Exxon Mobil Corp. reported a combustion incident over the weekend at a gasoline-making unit of its Baytown oil refinery in Texas. 

 ""Unplanned combustion event during turnaround activities that resulted in smoldering…",https://www.marketscreener.com/quote/stock/EXXON-MOBIL-CORPORATION-4822/news/Exxon-Reports-FCCU-Related-Issue-at-Baytown-Oil-Refinery-in-Texas-42973689/?utm_medium=RSS&utm_content=20230213,https://www.marketscreener.com/images/twitter_MS_fdnoir.png,2023-02-13T15:12:09Z,"By Dan Molinski 
Exxon Mobil Corp. reported a combustion incident over the weekend at a gasoline-making unit of its Baytown oil refinery in Texas. 
""Unplanned combustion event during turnaround act… [+421 chars]",2023-02-13,-1.0
22,"{'id': None, 'name': 'Yahoo Entertainment'}",PR Newswire,"Plastic additives market size to grow by USD 19.86 bn, Modifier to be Largest type Segment - Technavio",Plastic additives market insights -,https://finance.yahoo.com/news/plastic-additives-market-size-grow-104500226.html,https://media.zenfs.com/en/prnewswire.com/3a2f6b1a7f274511e0dc952e2dee9053,2023-02-13T10:45:00Z,"NEW YORK, Feb. 13, 2023 /PRNewswire/ --
Technavio has announced its latest market research report titled Global Plastic Additives Market 2023-2027
Plastic additives market insights -
<ul><li>Vendo… [+11612 chars]",2023-02-13,-1.0
23,"{'id': None, 'name': 'Biztoc.com'}",businessinsider.com,"ExxonMobil, Shell lead Big Oil's eye-watering $221 billion profit binge that Biden has slammed as 'outrageous'","Oil refinery Andrey Rudakov/Bloomberg Oil majors posted record profits for 2022, benefiting from the energy-market turmoil triggered by Russia's invasion of Ukraine. US President Joe Biden thinks it's 'outrageous', saying the firms invested too little of such…",https://biztoc.com/x/c4a53385d98bf11f,https://c.biztoc.com/p/c4a53385d98bf11f/og.webp,2023-02-12T11:10:07Z,"Oil refineryAndrey Rudakov/BloombergOil majors posted record profits for 2022, benefiting from the energy-market turmoil triggered by Russia's invasion of Ukraine.US President Joe Biden thinks it's '… [+310 chars]",2023-02-12,0.0
24,"{'id': 'cbs-news', 'name': 'CBS News'}",Fox Van Allen,Best Sam's Club Valentine's Day deal: Get a Sam's Club membership for $25 and save big on gas,There's never been a better time to join a warehouse club: Sam's Club memberships are less than half price.,https://www.cbsnews.com/essentials/sams-club-new-years-2023-deal-get-a-sams-club-membership-for-25-and-save-big-on-gas-2023-02-13/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/03/31/cf66f568-4631-45ca-b7e9-1ea2ec05a502/thumbnail/1200x630/94b555c4ad4af9fed3730f6bdadb0ced/sams-club.jpg,2023-02-13T19:26:00Z,"Getty Images
Worried about inflation in 2023? You can save money on groceries, gas and more essentials with a Sam's Club membership. And now, you can even save a significant amount of money on a Sam… [+4039 chars]",2023-02-13,-1.0
25,"{'id': None, 'name': 'Seeking Alpha'}",BeanKounter Capital,Occidental Petroleum: Good Risk-Reward In The Energy Sector,Occidental is expected to focus on buybacks this year and could potentially redeem Berkshire's preferred shares. See why I'm bullish on OXY stock.,https://seekingalpha.com/article/4577699-occidental-petroleum-stock-good-risk-reward-energy-sector,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1380008819/image_1380008819.jpg?io=getty-c-w1536,2023-02-13T13:00:00Z,"bymuratdeniz
It has been almost a year since I wrote an article covering Occidental Petroleum (NYSE:OXY) and I think now is a decent time to write an update as their year-end earnings approaches in … [+6531 chars]",2023-02-13,-1.0
26,"{'id': None, 'name': 'PRNewswire'}",,"Plastic additives market size to grow by USD 19.86 bn, Modifier to be Largest type Segment - Technavio","NEW YORK, Feb. 13, 2023 /PRNewswire/ -- Plastic additives market insights - Vendors: 15+, Including ADEKA Corp., Albemarle Corp., Avient Corp., Baerlocher GmbH, Clariant AG, Covestro AG, Dow Inc., Evonik Industries AG, Exxon Mobil Corp., Grafe Advanced Polyme…",https://www.prnewswire.com/news-releases/plastic-additives-market-size-to-grow-by-usd-19-86-bn-modifier-to-be-largest-type-segment---technavio-301744138.html,https://mma.prnewswire.com/media/2000287/Technavio.jpg?p=facebook,2023-02-13T10:45:00Z,"NEW YORK, Feb. 13, 2023 /PRNewswire/ --
Plastic additives market insights -
<ul><li>Vendors: 15+, Including ADEKA Corp., Albemarle Corp., Avient Corp., Baerlocher GmbH, Clariant AG, Covestro AG, Do… [+26479 chars]",2023-02-13,-1.0
27,"{'id': 'marca', 'name': 'Marca'}",marca.com,"Gas Prices Today, February 12, 2023: Check the Cheapest Gas Stations Today","Over the past week, gas prices have fallen a little, with the average price for filling up in the USA coming back down.
But, the price of gas does remain high and this is a concern",https://www.marca.com/en/lifestyle/us-news/personal-finance/2023/02/12/63e8a34b268e3ea9628b45cb.html,https://phantom-marca.unidadeditorial.es/efe5832542acf8f284ee1732fc7c420a/resize/1200/f/jpg/assets/multimedia/imagenes/2023/02/12/16761904730570.jpg,2023-02-12T08:30:29Z,"Over the past week, gas prices have fallen a little, with the average price for filling up in the USA coming back down.
But, the price of gas does remain high and this is a concern for American driv… [+1840 chars]",2023-02-12,0.0
28,"{'id': None, 'name': 'MarketWatch'}",MarketWatch Automation,"Company Close Updates: Exxon Mobil Corp. stock falls Monday, underperforms market","Shares of Exxon Mobil Corp. sank 0.39% to $117.80 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://www.marketwatch.com/data-news/exxon-mobil-corp-stock-falls-monday-underperforms-market-a31b4215-dd193cdd310f,https://images.mktw.net/im-220105/social,2023-02-13T22:34:00Z,"Shares of Exxon Mobil Corp. 
 XOM,
 -0.39%
sank 0.39% to $117.80 Monday, on what proved to be an all-around great trading session for the stock market, with the S&amp;P 500 Index 
 SPX,
 +1.14%… [+536 chars]",2023-02-13,-1.0
29,"{'id': None, 'name': 'Seeking Alpha'}",The Asian Investor,2 Top Reasons To Buy 7.4% Yielding Enterprise Products Partners,Enterprise Products Partners has a very unitholder-friendly management and returns a ton of its free cash flow to investors. Find out why EPD stock is a Buy.,https://seekingalpha.com/article/4577744-2-top-reasons-enterprise-products-partners-high-yield-buy,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/119744231/image_119744231.jpg?io=getty-c-w1536,2023-02-13T11:42:07Z,"ssuaphoto
Enterprise Products Partners (NYSE:EPD) is a fast-growing and well-run midstream firm that owns a large pipeline network and associated energy infrastructure. The company generates the maj… [+7366 chars]",2023-02-13,-1.0
30,"{'id': None, 'name': 'MarketWatch'}",MarketWatch Automation,"Company Close Updates: Eastman Chemical Co. stock rises Monday, outperforms market","Shares of Eastman Chemical Co. advanced 1.84% to $88.51 Monday, on what proved to be an all-around positive trading session for the stock market, with the...",https://www.marketwatch.com/data-news/eastman-chemical-co-stock-rises-monday-outperforms-market-9891aa98-acf2ad2554ba,https://images.mktw.net/im-220105/social,2023-02-13T21:52:00Z,"Shares of Eastman Chemical Co. 
 EMN,
 +1.84%
advanced 1.84% to $88.51 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&amp;P 500 Index 
 SPX,… [+665 chars]",2023-02-13,-1.0
31,"{'id': None, 'name': 'Chicago Tribune'}",Chicago Tribune,"Letters: We should make electric cars even cleaner by embracing green steel, aluminum",It’s time we start seeing jobs tied to cleaner steel here in the Midwest.,https://www.chicagotribune.com/opinion/letters/ct-letters-vp-021223-20230212-ksb6cvylbjegtd3va4wb5qxwgm-story.html,https://www.chicagotribune.com/resizer/EraLK3g1TaY_Zev2DBriS8RDYeM=/1200x630/filters:format(jpg):quality(70):focal(1232x968:1242x978)/cloudfront-us-east-1.images.arcpublishing.com/tronc/Z4VW443QC5APTLKD7PDYITF2AA.jpg,2023-02-12T11:00:00Z,"Electric vehicles, or EVs, have won. When thousands of Chicagoland motorheads walk the halls of the convention center this weekend at the Chicago Auto Show, it will be abundantly clear that EVs are n… [+6316 chars]",2023-02-12,0.0
32,"{'id': 'reuters', 'name': 'Reuters'}",,Chevron's CEO short-termism has benefits,"Chevron’s <a href=""https://www.reuters.com/companies/CVX.N"" target=""_blank"">(CVX.N)</a> focus on the near term under Chief Executive Mike Wirth is serving it just fine. That helps explain why the $330 billion oil giant is considering extending his contract be…",https://www.reuters.com/breakingviews/chevrons-ceo-short-termism-has-benefits-2023-02-13/,https://www.reuters.com/resizer/JpXVxo-D-jsJaF-VBOn2IM59PpQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/DWIIWYPOCBMGZEWOGC5NDFHNB4.jpg,2023-02-13T19:12:55Z,"NEW YORK, Feb 13 (Reuters Breakingviews) - Chevrons (CVX.N) focus on the near term under Chief Executive Mike Wirth is serving it just fine. That helps explain why the $330 billion oil giant is consi… [+3094 chars]",2023-02-13,-1.0
33,"{'id': 'business-insider', 'name': 'Business Insider'}",mfox@businessinsider.com (Matthew Fox),These are the top 10 holdings of the Mormon Church's $44 billion stock portfolio,The Mormon Church's $100 billion investment portfolio wasn't revealed to the public until 2019 when a former employee filed a whistleblower complaint.,https://markets.businessinsider.com/news/stocks/mormon-church-stock-portfolio-top-10-holdings-ensign-peak-advisors-2023-2,https://i.insider.com/63eb973d7518920018f339e6?width=1200&format=jpeg,2023-02-14T14:53:43Z,"The Church of Jesus Christ of Latter-day Saints' sports a $100 billion investment portfolio that includes $44.4 billion invested in stocks.
The portfolio is registered with the SEC under the name En… [+2483 chars]",2023-02-14,1.0
34,"{'id': None, 'name': 'Biztoc.com'}",investors.com,Is It Time To Buy XOM Stock As Exxon Mobil Restructures To Save Billions?,"beat the odds. After being removed from the Dow Jones Industrial Average in August 2020 after 92 years, the stock used a comeback in oil prices in 2022 as the catalyst to prove its worth. But has XOM stock reclaimed the throne of the energy industry? And have…",https://biztoc.com/x/0eab3c46a490a1ba,https://c.biztoc.com/p/0eab3c46a490a1ba/og.webp,2023-02-14T18:52:04Z,"beat the odds. After being removed from the Dow Jones Industrial Average in August 2020 after 92 years, the stock used a comeback in oil prices in 2022 as the catalyst to prove its worth. But has XOM… [+303 chars]",2023-02-14,1.0
35,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Spencer Jakab,Exxon Is an Exile on Wall Street and Loving It,"The Dow Jones Industrial Average’s shake-up dumped Exxon Mobil, Pfizer and Raytheon just as it was their turn to shine",https://www.wsj.com/articles/exxon-is-an-exile-on-wall-street-and-loving-it-487d25f,https://images.wsj.net/im-723029/social,2023-02-13T14:10:00Z,"Want to annoy an investing pedant? Just talk about U.S. stocks in terms of the Dow Jones Industrial Average.
While the pros vastly prefer more sophisticated indexes weighted by market value over the… [+235 chars]",2023-02-13,-1.0
36,"{'id': None, 'name': 'Biztoc.com'}",investors.com,7 Stocks Generate An Astounding 25% Of The S&P 500's Profit,"If you lack just a handful of key stocks, you're missing out on a sizable chunk of the S&P 500's profit engine. Just seven stocks — including Apple (AAPL), Microsoft (MSFT) and surprisingly Exxon Mobil (XOM) — hauled in 25% of the S&P 500's total adjusted net…",https://biztoc.com/x/bc423333fb351cc1,https://c.biztoc.com/p/bc423333fb351cc1/og.webp,2023-02-14T13:58:07Z,"If you lack just a handful of key stocks, you're missing out on a sizable chunk of the S&amp;P 500's profit engine.Just seven stocks including Apple (AAPL), Microsoft (MSFT) and surprisingly Exxon Mo… [+323 chars]",2023-02-14,1.0
37,"{'id': None, 'name': 'Yahoo Entertainment'}",Erwin Seba,Exxon tells U.S. labor board refinery lockout did not target union,"A 10-month lockout of union workers at an Exxon Mobil refinery was undertaken to save costs and improve profits at the Beaumont, Texas, facility, and not to ...",https://finance.yahoo.com/news/exxon-tells-u-labor-board-011731299.html,https://media.zenfs.com/en/reuters-finance.com/8ca0a6466db6a509dc97d9b85fc9f225,2023-02-14T01:17:31Z,"By Erwin Seba
HOUSTON (Reuters) - A 10-month lockout of union workers at an Exxon Mobil refinery was undertaken to save costs and improve profits at the Beaumont, Texas, facility, and not to elimina… [+2660 chars]",2023-02-14,1.0
38,"{'id': None, 'name': 'International Business Times'}",Erwin Seba,Exxon Tells U.S. Labor Board Refinery Lockout Did Not Target Union,"A 10-month lockout of union workers at an Exxon Mobil refinery was undertaken to save costs and improve profits at the Beaumont, Texas, facility, and not to eliminate union representation, an Exxon Mobil official told an administrative judge on Monday.",https://www.ibtimes.com/exxon-tells-us-labor-board-refinery-lockout-did-not-target-union-3667484,https://d.ibtimes.com/en/full/4419545/exxon-mobil-begins-lockout-workers-texas-plant.jpg,2023-02-14T01:42:26Z,"United Steelworkers (USW) union members picket outside Exxon Mobil's oil refinery amid a contract dispute in Beaumont, Texas, U.S., May 1, 2021. Picture taken May 1, 2021. Reuters
A 10-month lockout… [+2799 chars]",2023-02-14,1.0
39,"{'id': None, 'name': 'Yahoo Entertainment'}",Ty Haqqi,25 Most Expensive Countries in Europe,"In this article, we will be taking a look at the 25 most expensive countries in Europe. To skip our detailed analysis, you can go directly to see the 10 most...",https://finance.yahoo.com/news/25-most-expensive-countries-europe-034038598.html,https://media.zenfs.com/en/insidermonkey.com/41da846546cc820633b880f7b1096398,2023-02-13T03:40:38Z,"In this article, we will be taking a look at the 25 most expensive countries in Europe. To skip our detailed analysis, you can go directly to see the 10 most expensive countries in Europe.
Europe ha… [+9176 chars]",2023-02-13,-1.0
40,"{'id': 'rt', 'name': 'RT'}",RT,Big Oil rakes in record profits,"The top five Western oil producers reported combined profits of nearly $200 billion in 2022, fueling calls for higher taxes on the industry Read Full Article at RT.com",https://www.rt.com/business/571157-big-oil-record-profit/,https://mf.b37mrtl.ru/files/2023.02/article/63e391f885f54014f07fee15.jpg,2023-02-13T05:40:06Z,"Oil giants Shell, BP, Exxon Mobil, Chevron and TotalEnergies posted a combined profit of $196.3 billion last year, according to the companies’ earnings reports. A record-high result for the oil indus… [+2578 chars]",2023-02-13,-1.0
